index|name|platform|date|rating|content
0|부산양곱창|siksin||5.0|양곱창은 누가뭐래도 항상 오케이죠~~곱창존골에 소맥은 완벽했습니다!!!반찬도 나쁘지 않았고요 ㅎㅎ일단 곱창으로 승부를 보는 곳입니다 ㅎㅎㅎ추천합니다
1|부산양곱창|siksin||4.0|냄새하나~도안나고 쫄깃쫄깃하니 맛있습니다 느끼하면 빨간양념소스에 찍어먹음 느끼함 노노
2|부산양곱창|siksin||4.0|곱창이 상당히얇았어요 그래서 곱이 별로없을줄알았는데 생각보다는 곱이많이있네요
3|부산양곱창|siksin||5.0|생각보다 양도 넉넉하고 묻힌마늘양념도 단맛이덜해 물리지않아서 넉넉하게 즐길수있었어요ㅎㅎ
4|부산양곱창|siksin||3.0|내별명이 기.승.전.볶음밥ㅋㅋ 뭘먹던 무조건 볶음밥먹어야함여기양볶음밥이요~ㅋㅋ
5|부산양곱창|siksin||5.0|소의 내장주제에 왜이렇게 비싼걸까요 근데 또 왜이렇게 맛있는걸까효!!! ㅜㅜ
6|부산양곱창|siksin||5.0|다먹은후 양볶음밥은 정말 안먹으면 후회후회 깻잎에싸먹는게 더맛있어여어어어
7|부산양곱창|siksin||4.0|가격에 쎄서 맘편히는 못먹겠더라구요 사장님도 친절하고 비싼만큼 양,대창,곱창 다맛있어요
8|부산양곱창|siksin||3.0|마늘양념에 버무려서 다른곳보다 뒷맛이 더깔끔했어요 ^^
9|부산양곱창|siksin||5.0|대창은 기름기가 많아서 너무느끼했어요 곱창이랑 양이 좀더맛있네요 ^^ 
10|부산양곱창|siksin||3.0|가격이ㅜㅜ더싸면좋으련만 가격대비 양이 너무적어서 ㅜㅜ 
11|부산양곱창|siksin||5.0|엄지척척 쫄깃쫄깃하니 식감이~ 어후!! 빨간양념장소스에 찍어먹으면 다이어트는 저리가라~
12|부산양곱창|siksin||5.0|가격이 쎄요 ㅜㅜ 그치만 맛있어요 자주는 못갈그런곳이지만 자꾸자꾸생각이난다는 ㅜㅜ 
13|부산양곱창|siksin||5.0|구워지기 전인데도 참.. 양적다 ㅋㅋㅋㅋ 
14|부산양곱창|siksin||4.0|고추가 들어가서 느끼하지도 않고 넘넘 꿀맛
15|부산양곱창|siksin||3.0|다먹고 김치우동, 김치양볶음밥 먹어야해요!! 필수!
16|부산양곱창|siksin||3.0|초벌되서나온거니까 곱창은 살짝만익혀서 먹으면 쫄깃말캉 마무리는 무조건 양볶음밥!!!!
17|부산양곱창|siksin||4.0|쌀쌀한 가을에 숯불에 구워먹는 양 대창의 맛이란~~ 좋은 사람들과의 맛있는 저녁… 즐거운 시간이었습니다 ^^
18|부산양곱창|siksin||5.0|간만에 시킨 탕수육 솔직히 송중작의 탕수륙을 별로 추천 안드려요..
19|부산양곱창|siksin||5.0|직원분이 다구워주니 그냥 맛있게만드심됩니다 
20|부산양곱창|siksin||4.0|포장도가능해요 집에서먹으면 아무래도 맛이좀 덜하지만 그래도 맛있게잘먹었어요 헤헤
21|부산양곱창|siksin||3.0|곱창은 비법소스랑 대창은 백김치랑 먹으면 맛있더라구요ㅎㅎ
22|부산양곱창|siksin||5.0|매번 내 돈주고 먹는거 아니지만.. 그래도 너무 비싸서 먹을때마다 소 내장따위가 왜이렇게 비싸지? 하면서 생각하는 건 사실이에요.ㅜ…
23|부산양곱창|siksin||5.0|진짜 숯으로 곱창을 구워머겅요 ㅎㅎ 별로의미는 없을것같은데 그래도 진짜 숯이라 좋네요 ㅎ
24|부산양곱창|siksin||5.0|마늘양념때문에 판이타서 곱창도타보이지만 절대탄게아니에욧!! 먹으면 쫄깃쫄깃 맛나용~ 
